,0
0,-2.13672
1,-2.10215
2,-2.05365
3,-2.01605
4,-1.9504099999999998
5,-1.8900299999999999
6,-1.7819599999999998
7,-1.69678
8,-1.5630899999999999
9,-1.48308
10,-1.34301
11,-1.18013
12,-1.05211
13,-0.894374
14,-0.775784
15,-0.6353260000000001
16,-0.55557
17,-0.42782299999999995
18,-0.260747
19,-0.180694
20,-0.06109880000000001
21,0.0281555
22,0.124607
23,0.238508
24,0.29608
25,0.38305100000000003
26,0.438737
27,0.515536
28,0.587024
29,0.62505
30,0.6533479999999999
31,0.698137
32,0.6811
33,0.704911
34,0.735759
35,0.745208
36,0.779092
37,0.7532909999999999
38,0.786546
39,0.769985
40,0.789393
41,0.8197479999999999
42,0.8196700000000001
43,0.792241
44,0.811851
45,0.861261
46,0.876909
47,0.917796
48,0.9521299999999999
49,0.8762340000000001
50,0.876598
51,0.8249340000000001
52,0.760311
53,0.759359
54,0.6814100000000001
55,0.719956
56,0.737023
57,0.75845
58,0.761944
59,0.769614
60,0.826786
61,0.862511
62,0.88235
63,0.888782
64,0.8400850000000001
65,0.774805
66,0.760927
67,0.745394
68,0.734266
69,0.690534
70,0.642867
71,0.6280600000000001
72,0.579249
73,0.509133
74,0.45330200000000004
75,0.36222
76,0.29741599999999996
77,0.198102
78,0.136954
79,0.0725293
80,0.0571062
81,0.0182976
82,0.0159184
83,0.0127913
84,0.0022693
85,-0.00127063
86,-0.11805399999999999
87,-0.311732
88,-0.47102
89,-0.603513
90,-0.7042729999999999
91,-0.865116
92,-0.999474
93,-1.0883
94,-1.1631799999999999
95,-1.17203
96,-1.18929
97,-1.23022
98,-1.2496399999999999
99,-1.28554
100,-1.30243
101,-1.3032
102,-1.2859399999999999
103,-1.25606
104,-1.14171
105,-1.10051
106,-0.987917
107,-0.839284
108,-0.681092
109,-0.511365
110,-0.382715
111,-0.23659000000000002
112,-0.112576
113,0.0230138
114,0.184061
115,0.320675
116,0.45091800000000004
117,0.58797
118,0.747139
119,0.884901
120,0.920399
121,0.991258
122,1.05714
123,1.11345
124,1.16106
125,1.18111
126,1.1644700000000001
127,1.1434600000000001
128,1.12152
129,1.0734299999999999
130,1.0327600000000001
131,0.967676
132,0.90533
133,0.780091
134,0.656801
135,0.48653500000000005
136,0.334836
137,0.23821399999999998
138,0.111899
139,-0.07412310000000001
140,-0.207767
141,-0.369706
142,-0.5320739999999999
143,-0.691663
144,-0.824708
145,-0.995516
146,-1.15172
147,-1.23268
148,-1.3616
149,-1.4199700000000002
150,-1.50121
151,-1.4977
152,-1.48729
153,-1.4212200000000001
154,-1.3837700000000002
155,-1.3346799999999999
156,-1.25599
157,-1.2078799999999998
158,-1.13324
159,-1.0421799999999999
160,-0.926256
161,-0.7981060000000001
162,-0.681335
163,-0.5495180000000001
164,-0.42860299999999996
165,-0.284026
166,-0.0965536
167,0.00695861
168,-0.0111004
169,-0.016406999999999998
170,0.0341535
171,0.058744000000000005
172,0.108846
173,0.176857
174,0.23029899999999998
175,0.298088
176,0.34818000000000005
177,0.418299
178,0.464423
179,0.546982
180,0.595657
181,0.6617270000000001
182,0.7111649999999999
183,0.756821
184,0.756667
185,0.752077
186,0.737293
187,0.732346
188,0.7233609999999999
189,0.774787
190,0.786905
191,0.79283
192,0.807359
193,0.78364
194,0.7791859999999999
195,0.7440359999999999
196,0.767446
197,0.73405
198,0.763167
199,0.781271
200,0.8411780000000001
201,0.8764049999999999
202,0.889333
203,0.8590200000000001
204,0.880067
205,0.9258350000000001
206,0.906334
207,0.944976
208,0.938357
209,0.9856950000000001
210,0.9747399999999999
211,0.9470139999999999
212,0.9065850000000001
213,0.8995989999999999
214,0.865542
215,0.8410209999999999
216,0.855308
217,0.861308
218,0.821306
219,0.792374
220,0.737747
221,0.703769
222,0.617899
223,0.589697
224,0.516858
225,0.451431
226,0.38609099999999996
227,0.316181
228,0.280493
229,0.17286400000000002
230,0.0930655
231,0.0124494
232,-0.0989806
233,-0.177056
234,-0.284281
235,-0.431487
236,-0.544621
237,-0.700037
238,-0.819268
239,-0.9995200000000001
240,-1.13277
241,-1.3081399999999999
242,-1.46126
243,-1.55617
244,-1.67914
245,-1.76977
246,-1.86346
247,-1.96354
248,-2.06053
249,-2.12835
250,-2.13665
